areaCode,areaName,areaType,date,newCasesBySpecimenDate
K02000001,United Kingdom,overview,22/08/2020,824
K02000001,United Kingdom,overview,21/08/2020,1197
K02000001,United Kingdom,overview,20/08/2020,1459
K02000001,United Kingdom,overview,19/08/2020,1241
K02000001,United Kingdom,overview,18/08/2020,1082
K02000001,United Kingdom,overview,17/08/2020,1278
K02000001,United Kingdom,overview,16/08/2020,598
K02000001,United Kingdom,overview,15/08/2020,694
K02000001,United Kingdom,overview,14/08/2020,1161
K02000001,United Kingdom,overview,13/08/2020,1139
K02000001,United Kingdom,overview,12/08/2020,1207
K02000001,United Kingdom,overview,11/08/2020,1340
K02000001,United Kingdom,overview,10/08/2020,1469
K02000001,United Kingdom,overview,09/08/2020,614
K02000001,United Kingdom,overview,08/08/2020,695
K02000001,United Kingdom,overview,07/08/2020,943
K02000001,United Kingdom,overview,06/08/2020,1080
K02000001,United Kingdom,overview,05/08/2020,1057
K02000001,United Kingdom,overview,04/08/2020,1018
K02000001,United Kingdom,overview,03/08/2020,1037
K02000001,United Kingdom,overview,02/08/2020,554
K02000001,United Kingdom,overview,01/08/2020,542
K02000001,United Kingdom,overview,31/07/2020,676
K02000001,United Kingdom,overview,30/07/2020,925
K02000001,United Kingdom,overview,29/07/2020,1038
K02000001,United Kingdom,overview,28/07/2020,841
K02000001,United Kingdom,overview,27/07/2020,856
K02000001,United Kingdom,overview,26/07/2020,558
K02000001,United Kingdom,overview,25/07/2020,524
K02000001,United Kingdom,overview,24/07/2020,773
K02000001,United Kingdom,overview,23/07/2020,796
K02000001,United Kingdom,overview,22/07/2020,795
K02000001,United Kingdom,overview,21/07/2020,782
K02000001,United Kingdom,overview,20/07/2020,812
K02000001,United Kingdom,overview,19/07/2020,444
K02000001,United Kingdom,overview,18/07/2020,497
K02000001,United Kingdom,overview,17/07/2020,580
K02000001,United Kingdom,overview,16/07/2020,706
K02000001,United Kingdom,overview,15/07/2020,773
K02000001,United Kingdom,overview,14/07/2020,692
K02000001,United Kingdom,overview,13/07/2020,736
K02000001,United Kingdom,overview,12/07/2020,369
K02000001,United Kingdom,overview,11/07/2020,446
K02000001,United Kingdom,overview,10/07/2020,565
K02000001,United Kingdom,overview,09/07/2020,719
K02000001,United Kingdom,overview,08/07/2020,702
K02000001,United Kingdom,overview,07/07/2020,604
K02000001,United Kingdom,overview,06/07/2020,705
K02000001,United Kingdom,overview,05/07/2020,556
K02000001,United Kingdom,overview,04/07/2020,402
K02000001,United Kingdom,overview,03/07/2020,574
K02000001,United Kingdom,overview,02/07/2020,610
K02000001,United Kingdom,overview,01/07/2020,657
K02000001,United Kingdom,overview,30/06/2020,617
K02000001,United Kingdom,overview,29/06/2020,727
K02000001,United Kingdom,overview,28/06/2020,446
K02000001,United Kingdom,overview,27/06/2020,652
K02000001,United Kingdom,overview,26/06/2020,669
K02000001,United Kingdom,overview,25/06/2020,719
K02000001,United Kingdom,overview,24/06/2020,775
K02000001,United Kingdom,overview,23/06/2020,888
K02000001,United Kingdom,overview,22/06/2020,894
K02000001,United Kingdom,overview,21/06/2020,637
K02000001,United Kingdom,overview,20/06/2020,686
K02000001,United Kingdom,overview,19/06/2020,996
K02000001,United Kingdom,overview,18/06/2020,1025
K02000001,United Kingdom,overview,17/06/2020,1012
K02000001,United Kingdom,overview,16/06/2020,1103
K02000001,United Kingdom,overview,15/06/2020,1041
K02000001,United Kingdom,overview,14/06/2020,819
K02000001,United Kingdom,overview,13/06/2020,887
K02000001,United Kingdom,overview,12/06/2020,1058
K02000001,United Kingdom,overview,11/06/2020,1010
K02000001,United Kingdom,overview,10/06/2020,1191
K02000001,United Kingdom,overview,09/06/2020,1153
K02000001,United Kingdom,overview,08/06/2020,1096
K02000001,United Kingdom,overview,07/06/2020,722
K02000001,United Kingdom,overview,06/06/2020,806
K02000001,United Kingdom,overview,05/06/2020,1126
K02000001,United Kingdom,overview,04/06/2020,1250
K02000001,United Kingdom,overview,03/06/2020,1356
K02000001,United Kingdom,overview,02/06/2020,1485
K02000001,United Kingdom,overview,01/06/2020,1439
K02000001,United Kingdom,overview,31/05/2020,1081
K02000001,United Kingdom,overview,30/05/2020,1118
K02000001,United Kingdom,overview,29/05/2020,1527
K02000001,United Kingdom,overview,28/05/2020,1755
K02000001,United Kingdom,overview,27/05/2020,1825
K02000001,United Kingdom,overview,26/05/2020,2056
K02000001,United Kingdom,overview,25/05/2020,1616
K02000001,United Kingdom,overview,24/05/2020,1365
K02000001,United Kingdom,overview,23/05/2020,1527
K02000001,United Kingdom,overview,22/05/2020,2052
K02000001,United Kingdom,overview,21/05/2020,2565
K02000001,United Kingdom,overview,20/05/2020,2701
K02000001,United Kingdom,overview,19/05/2020,3049
K02000001,United Kingdom,overview,18/05/2020,2576
K02000001,United Kingdom,overview,17/05/2020,1835
K02000001,United Kingdom,overview,16/05/2020,2075
K02000001,United Kingdom,overview,15/05/2020,2524
K02000001,United Kingdom,overview,14/05/2020,2622
K02000001,United Kingdom,overview,13/05/2020,3308
K02000001,United Kingdom,overview,12/05/2020,3388
K02000001,United Kingdom,overview,11/05/2020,3575
K02000001,United Kingdom,overview,10/05/2020,2322
K02000001,United Kingdom,overview,09/05/2020,2165
K02000001,United Kingdom,overview,08/05/2020,3064
K02000001,United Kingdom,overview,07/05/2020,3771
K02000001,United Kingdom,overview,06/05/2020,3817
K02000001,United Kingdom,overview,05/05/2020,3669
K02000001,United Kingdom,overview,04/05/2020,3390
K02000001,United Kingdom,overview,03/05/2020,2988
K02000001,United Kingdom,overview,02/05/2020,3232
K02000001,United Kingdom,overview,01/05/2020,4733
K02000001,United Kingdom,overview,30/04/2020,4955
K02000001,United Kingdom,overview,29/04/2020,5423
K02000001,United Kingdom,overview,28/04/2020,4711
K02000001,United Kingdom,overview,27/04/2020,4704
K02000001,United Kingdom,overview,26/04/2020,3470
K02000001,United Kingdom,overview,25/04/2020,3742
K02000001,United Kingdom,overview,24/04/2020,4953
K02000001,United Kingdom,overview,23/04/2020,5146
K02000001,United Kingdom,overview,22/04/2020,5480
K02000001,United Kingdom,overview,21/04/2020,4763
K02000001,United Kingdom,overview,20/04/2020,4415
K02000001,United Kingdom,overview,19/04/2020,3852
K02000001,United Kingdom,overview,18/04/2020,4703
K02000001,United Kingdom,overview,17/04/2020,4936
K02000001,United Kingdom,overview,16/04/2020,5272
K02000001,United Kingdom,overview,15/04/2020,5044
K02000001,United Kingdom,overview,14/04/2020,4296
K02000001,United Kingdom,overview,13/04/2020,4166
K02000001,United Kingdom,overview,12/04/2020,3480
K02000001,United Kingdom,overview,11/04/2020,3552
