RegionName,date,HouseRegionMedianPrice
Wales, 6/30/2005,122000
Wales, 9/30/2005,124000
Wales,12/31/2005,125000
Wales, 3/31/2006,125000
Wales, 6/30/2006,128000
Wales, 6/30/2009,130000
Wales, 9/30/2006,130000
Wales, 9/30/2009,130000
Wales,12/31/2011,130000
Wales, 9/30/2011,130950
Wales, 3/31/2010,132000
Wales, 6/30/2011,132500
Wales,12/31/2009,132500
Wales, 3/31/2012,132500
Wales, 6/30/2012,132500
Wales,12/31/2006,132950
Wales, 9/30/2012,133000
Wales,12/31/2012,133000
Wales, 3/31/2013,133000
Wales, 6/30/2013,133000
Wales, 3/31/2009,133100
Wales, 9/30/2013,133500
Wales, 3/31/2011,134950
Wales, 9/30/2010,135000
Wales,12/31/2008,135000
Wales, 3/31/2014,135000
Wales,12/31/2010,135000
Wales,12/31/2013,135000
Wales, 3/31/2007,135000
Wales, 6/30/2010,135000
Wales, 6/30/2014,136000
Wales, 6/30/2007,137000
Wales, 9/30/2008,138000
Wales, 9/30/2014,138000
Wales, 9/30/2007,139000
Wales, 6/30/2008,140000
Wales, 3/31/2015,140000
Wales, 3/31/2008,140000
Wales,12/31/2014,140000
Wales,12/31/2007,140000
Wales, 6/30/2015,142000
Wales, 9/30/2015,142950
Wales,12/31/2015,144950
Wales, 3/31/2016,145000
Wales, 6/30/2016,146500
Wales, 9/30/2016,148000
Wales,12/31/2016,149000
Wales, 3/31/2017,150000
Wales, 6/30/2017,150000
Wales, 9/30/2017,150000
Wales,12/31/2017,152000
Wales,  4/1/2018,154000
Wales,  6/1/2018,155000
Wales,  9/1/2018,156000
Wales, 12/1/2018,157500
Wales,  3/1/2019,158000
Wales,  9/1/2019,160000
Wales,  6/1/2019,160000
Wales, 12/1/2019,162972.5
Wales,  6/1/2020,165000
Wales,  3/1/2020,165000
Wales,  9/1/2020,165000
Wales, 12/1/2020,170000
Wales,  3/1/2021,175000
West Midlands,12/31/1995,49500
West Midlands, 3/31/1996,49500
West Midlands, 6/30/1996,49950
West Midlands, 9/30/1996,50000
West Midlands,12/31/1996,51000
West Midlands, 3/31/1997,52000
West Midlands, 6/30/1997,53000
West Midlands, 9/30/1997,54000
West Midlands,12/31/1997,54500
West Midlands, 3/31/1998,55000
West Midlands, 6/30/1998,55250
West Midlands, 9/30/1998,56000
West Midlands,12/31/1998,57000
West Midlands, 3/31/1999,57950
West Midlands, 6/30/1999,58800
West Midlands, 9/30/1999,59950
West Midlands,12/31/1999,60000
West Midlands, 3/31/2000,63000
West Midlands, 6/30/2000,64576
West Midlands, 9/30/2000,65500
West Midlands,12/31/2000,67000
West Midlands, 3/31/2001,68500
West Midlands, 6/30/2001,70500
West Midlands, 9/30/2001,73500
West Midlands,12/31/2001,76000
West Midlands, 3/31/2002,78000
West Midlands, 6/30/2002,81000
West Midlands, 9/30/2002,85000
West Midlands,12/31/2002,89950
West Midlands, 3/31/2003,93000
West Midlands, 6/30/2003,97000
West Midlands, 9/30/2003,103000
West Midlands,12/31/2003,110000
West Midlands, 3/31/2004,115000
West Midlands, 6/30/2004,119995
West Midlands, 9/30/2004,125000
West Midlands,12/31/2004,128500
West Midlands, 3/31/2005,130000
West Midlands, 6/30/2005,133000
West Midlands, 9/30/2005,133000
West Midlands,12/31/2005,134000
West Midlands, 3/31/2006,135000
West Midlands, 6/30/2006,137000
West Midlands, 6/30/2009,138000
West Midlands, 9/30/2009,139950
West Midlands, 9/30/2006,140000
West Midlands, 3/31/2009,140000
West Midlands,12/31/2009,142000
West Midlands,12/31/2008,142000
West Midlands,12/31/2006,142500
West Midlands,12/31/2011,142500
West Midlands, 3/31/2010,143000
West Midlands, 3/31/2012,143500
West Midlands, 3/31/2007,143500
West Midlands, 6/30/2012,143750
West Midlands, 9/30/2011,144000
West Midlands,12/31/2012,145000
West Midlands, 6/30/2011,145000
West Midlands, 6/30/2007,145000
West Midlands, 9/30/2008,145000
West Midlands, 6/30/2010,145000
West Midlands, 9/30/2012,145000
West Midlands, 3/31/2013,145950
West Midlands, 9/30/2007,146000
West Midlands, 3/31/2011,146500
West Midlands, 6/30/2008,147000
West Midlands, 6/30/2013,147000
West Midlands,12/31/2007,147000
West Midlands,12/31/2010,147000
West Midlands, 9/30/2010,147500
West Midlands, 3/31/2008,148000
West Midlands, 9/30/2013,148000
West Midlands,12/31/2013,149995
West Midlands, 3/31/2014,150000
West Midlands, 6/30/2014,152500
West Midlands, 9/30/2014,155000
West Midlands,12/31/2014,156000
West Midlands, 3/31/2015,158000
West Midlands, 6/30/2015,159995
West Midlands, 9/30/2015,161000
West Midlands,12/31/2015,164000
West Midlands, 3/31/2016,164995
West Midlands, 6/30/2016,165500
West Midlands, 9/30/2016,168000
West Midlands,12/31/2016,170000
West Midlands, 3/31/2017,174995
West Midlands, 6/30/2017,175000
West Midlands, 9/30/2017,178000
West Midlands,12/31/2017,180000
West Midlands,  4/1/2018,183000
West Midlands,  6/1/2018,185000
West Midlands,  9/1/2018,188000
West Midlands, 12/1/2018,190000
West Midlands,  3/1/2019,191000
West Midlands,  6/1/2019,193995
West Midlands, 12/1/2019,195000
West Midlands,  9/1/2019,195000
West Midlands,  3/1/2020,198000
West Midlands,  6/1/2020,199950
West Midlands,  9/1/2020,200000
West Midlands, 12/1/2020,209000
West Midlands,  3/1/2021,217500
Yorkshire and The Humber, 3/31/1996,45500
Yorkshire and The Humber,12/31/1995,45500
Yorkshire and The Humber, 6/30/1996,45600
Yorkshire and The Humber, 9/30/1996,46000
Yorkshire and The Humber,12/31/1996,46600
Yorkshire and The Humber, 3/31/1997,47000
Yorkshire and The Humber, 6/30/1997,47995
Yorkshire and The Humber, 9/30/1997,48500
Yorkshire and The Humber,12/31/1997,48950
